Country,Region
Guyana,The Americas
Guyana,The Americas
Haiti,The Americas
Haiti,The Americas
Haiti,The Americas
Haiti,The Americas
Haiti,The Americas
Haiti,The Americas
Honduras,The Americas
Honduras,The Americas
Honduras,The Americas
Honduras,The Americas
Honduras,The Americas
Honduras,The Americas
"Hong Kong SAR, China",Asia
"Hong Kong SAR, China",Asia
"Hong Kong SAR, China",Asia
"Hong Kong SAR, China",Asia
"Hong Kong SAR, China",Asia
"Hong Kong SAR, China",Asia
Hungary,Europe
Hungary,Europe
Hungary,Europe
Hungary,Europe
Hungary,Europe
Hungary,Europe
Iceland,Europe
Iceland,Europe
Iceland,Europe
Iceland,Europe
Iceland,Europe
Iceland,Europe
India,Asia
India,Asia
India,Asia
India,Asia
India,Asia
India,Asia
Indonesia,Asia
Indonesia,Asia
Indonesia,Asia
Indonesia,Asia
Indonesia,Asia
Indonesia,Asia
"Iran, Islamic Rep.",Middle East
"Iran, Islamic Rep.",Middle East
"Iran, Islamic Rep.",Middle East
"Iran, Islamic Rep.",Middle East
"Iran, Islamic Rep.",Middle East
"Iran, Islamic Rep.",Middle East
Iraq,Middle East
Iraq,Middle East
Iraq,Middle East
Iraq,Middle East
Iraq,Middle East
Iraq,Middle East
Ireland,Europe
Ireland,Europe
Ireland,Europe
Ireland,Europe
Ireland,Europe
Ireland,Europe
Isle of Man,Europe
Isle of Man,Europe
Isle of Man,Europe
Isle of Man,Europe
Isle of Man,Europe
Isle of Man,Europe
Israel,Middle East
Israel,Middle East
Israel,Middle East
Israel,Middle East
Israel,Middle East
Israel,Middle East
Italy,Europe
Italy,Europe
Italy,Europe
Italy,Europe
Italy,Europe
Italy,Europe
Jamaica,The Americas
Jamaica,The Americas
Jamaica,The Americas
Jamaica,The Americas
Jamaica,The Americas
Jamaica,The Americas
Japan,Asia
Japan,Asia
Japan,Asia
Japan,Asia
Japan,Asia
Japan,Asia
Jordan,Middle East
Jordan,Middle East
Jordan,Middle East
Jordan,Middle East
Jordan,Middle East
Jordan,Middle East
Kazakhstan,Asia
Kazakhstan,Asia
Kazakhstan,Asia
Kazakhstan,Asia
Kazakhstan,Asia
Kazakhstan,Asia
Kenya,Africa
Kenya,Africa
Kenya,Africa
Kenya,Africa
Kenya,Africa
Kenya,Africa
Kiribati,Oceania
Kiribati,Oceania
Kiribati,Oceania
Kiribati,Oceania
Kiribati,Oceania
Kiribati,Oceania
"Korea, Rep.",Asia
"Korea, Rep.",Asia
"Korea, Rep.",Asia
"Korea, Rep.",Asia
"Korea, Rep.",Asia
"Korea, Rep.",Asia
Kosovo,Europe
Kosovo,Europe
Kosovo,Europe
Kosovo,Europe
Kosovo,Europe
Kosovo,Europe
Kuwait,Middle East
Kuwait,Middle East
Kuwait,Middle East
Kuwait,Middle East
Kuwait,Middle East
Kuwait,Middle East
Kyrgyz Republic,Asia
Kyrgyz Republic,Asia
Kyrgyz Republic,Asia
Kyrgyz Republic,Asia
Kyrgyz Republic,Asia
Kyrgyz Republic,Asia
Lao PDR,Asia
Lao PDR,Asia
Lao PDR,Asia
Lao PDR,Asia
Lao PDR,Asia
Lao PDR,Asia
Latvia,Europe
Latvia,Europe
Latvia,Europe
Latvia,Europe
Latvia,Europe
Latvia,Europe
Lebanon,Middle East
Lebanon,Middle East
Lebanon,Middle East
Lebanon,Middle East
Lebanon,Middle East
Lebanon,Middle East
Lesotho,Africa
Lesotho,Africa
Lesotho,Africa
Lesotho,Africa
Lesotho,Africa
Lesotho,Africa
Liberia,Africa
Liberia,Africa
Liberia,Africa
Liberia,Africa
Liberia,Africa
Liberia,Africa
Libya,Africa
Libya,Africa
Libya,Africa
Libya,Africa
Libya,Africa
Libya,Africa
Liechtenstein,Europe
Liechtenstein,Europe
Liechtenstein,Europe
Liechtenstein,Europe
Liechtenstein,Europe
Liechtenstein,Europe
Lithuania,Europe
Lithuania,Europe
Lithuania,Europe
Lithuania,Europe
Lithuania,Europe
Lithuania,Europe
Luxembourg,Europe
Luxembourg,Europe
Luxembourg,Europe
Luxembourg,Europe
Luxembourg,Europe
Luxembourg,Europe
"Macao SAR, China",Asia
"Macao SAR, China",Asia
"Macao SAR, China",Asia
"Macao SAR, China",Asia
"Macao SAR, China",Asia
"Macao SAR, China",Asia
"Macedonia, FYR",Europe
"Macedonia, FYR",Europe
"Macedonia, FYR",Europe
"Macedonia, FYR",Europe
"Macedonia, FYR",Europe
"Macedonia, FYR",Europe
Madagascar,Africa
Madagascar,Africa
Madagascar,Africa
Madagascar,Africa
Madagascar,Africa
Madagascar,Africa
Malawi,Africa
Malawi,Africa
Malawi,Africa
Malawi,Africa
Malawi,Africa
Malawi,Africa
Malaysia,Asia
Malaysia,Asia
Malaysia,Asia
Malaysia,Asia
Malaysia,Asia
Malaysia,Asia
Maldives,Asia
Maldives,Asia
Maldives,Asia
Maldives,Asia
Maldives,Asia
Maldives,Asia
Mali,Africa
Mali,Africa
Mali,Africa
Mali,Africa
Mali,Africa
Mali,Africa
Malta,Europe
Malta,Europe
Malta,Europe
Malta,Europe
Malta,Europe
Malta,Europe
Marshall Islands,Oceania
Marshall Islands,Oceania
Marshall Islands,Oceania
Marshall Islands,Oceania
Marshall Islands,Oceania
Marshall Islands,Oceania
Mauritania,Africa
Mauritania,Africa
Mauritania,Africa
Mauritania,Africa
Mauritania,Africa
Mauritania,Africa
Mauritius,Africa
Mauritius,Africa
Mauritius,Africa
Mauritius,Africa
Mauritius,Africa
Mauritius,Africa
Mexico,The Americas
Mexico,The Americas
Mexico,The Americas
Mexico,The Americas
Mexico,The Americas
Mexico,The Americas
"Micronesia, Fed. Sts.",Oceania
"Micronesia, Fed. Sts.",Oceania
"Micronesia, Fed. Sts.",Oceania
"Micronesia, Fed. Sts.",Oceania
"Micronesia, Fed. Sts.",Oceania
"Micronesia, Fed. Sts.",Oceania
Moldova,Europe
Moldova,Europe
Moldova,Europe
Moldova,Europe
Moldova,Europe
Moldova,Europe
Monaco,Europe
Monaco,Europe
Monaco,Europe
Monaco,Europe
Monaco,Europe
Monaco,Europe
Mongolia,Asia
Mongolia,Asia
Mongolia,Asia
Mongolia,Asia
Mongolia,Asia
Mongolia,Asia
Montenegro,Europe
Montenegro,Europe
Montenegro,Europe
Montenegro,Europe
Montenegro,Europe
Montenegro,Europe
Morocco,Africa
Morocco,Africa
Morocco,Africa
Morocco,Africa
Morocco,Africa
Morocco,Africa
Mozambique,Africa
Mozambique,Africa
Mozambique,Africa
Mozambique,Africa
Mozambique,Africa
Mozambique,Africa
Myanmar,Asia
Myanmar,Asia
Myanmar,Asia
Myanmar,Asia
Myanmar,Asia
Myanmar,Asia
Namibia,Africa
Namibia,Africa
Namibia,Africa
Namibia,Africa
Namibia,Africa
Namibia,Africa
Nepal,Asia
Nepal,Asia
Nepal,Asia
Nepal,Asia
Nepal,Asia
Nepal,Asia
Netherlands,Europe
Netherlands,Europe
Netherlands,Europe
Netherlands,Europe
Netherlands,Europe
Netherlands,Europe
New Caledonia,Oceania
New Caledonia,Oceania
New Caledonia,Oceania
New Caledonia,Oceania
New Caledonia,Oceania
New Caledonia,Oceania
New Zealand,Oceania
New Zealand,Oceania
New Zealand,Oceania
New Zealand,Oceania
New Zealand,Oceania
New Zealand,Oceania
Nicaragua,The Americas
Nicaragua,The Americas
Nicaragua,The Americas
Nicaragua,The Americas
Nicaragua,The Americas
Nicaragua,The Americas
Niger,Africa
Niger,Africa
Niger,Africa
Niger,Africa
Niger,Africa
Niger,Africa
Nigeria,Africa
Nigeria,Africa
Nigeria,Africa
Nigeria,Africa
Nigeria,Africa
Nigeria,Africa
Norway,Europe
Norway,Europe
Norway,Europe
Norway,Europe
Norway,Europe
Norway,Europe
Oman,Middle East
Oman,Middle East
Oman,Middle East
Oman,Middle East
Oman,Middle East
Oman,Middle East
Pakistan,Asia
Pakistan,Asia
Pakistan,Asia
Pakistan,Asia
Pakistan,Asia
Pakistan,Asia
Panama,The Americas
Panama,The Americas
Panama,The Americas
Panama,The Americas
Panama,The Americas
Panama,The Americas
Papua New Guinea,Oceania
Papua New Guinea,Oceania
Papua New Guinea,Oceania
Papua New Guinea,Oceania
Papua New Guinea,Oceania
Papua New Guinea,Oceania
Paraguay,The Americas
Paraguay,The Americas
Paraguay,The Americas
Paraguay,The Americas
Paraguay,The Americas
Paraguay,The Americas
Peru,The Americas
Peru,The Americas
Peru,The Americas
Peru,The Americas
Peru,The Americas
Peru,The Americas
Philippines,Asia
Philippines,Asia
Philippines,Asia
Philippines,Asia
Philippines,Asia
Philippines,Asia
Poland,Europe
Poland,Europe
Poland,Europe
Poland,Europe
Poland,Europe
Poland,Europe
Portugal,Europe
Portugal,Europe
Portugal,Europe
Portugal,Europe
Portugal,Europe
Portugal,Europe
Puerto Rico,The Americas
Puerto Rico,The Americas
Puerto Rico,The Americas
Puerto Rico,The Americas
Puerto Rico,The Americas
Puerto Rico,The Americas
Qatar,Middle East
Qatar,Middle East
Qatar,Middle East
Qatar,Middle East
Qatar,Middle East
Qatar,Middle East
Romania,Europe
Romania,Europe
Romania,Europe
Romania,Europe
Romania,Europe
Romania,Europe
Russian Federation,Europe
Russian Federation,Europe
Russian Federation,Europe
Russian Federation,Europe
Russian Federation,Europe
Russian Federation,Europe
Rwanda,Africa
Rwanda,Africa
Rwanda,Africa
Rwanda,Africa
Rwanda,Africa
Rwanda,Africa
Samoa,Oceania
Samoa,Oceania
Samoa,Oceania
Samoa,Oceania
Samoa,Oceania
Samoa,Oceania
San Marino,Europe
San Marino,Europe
San Marino,Europe
San Marino,Europe
San Marino,Europe
San Marino,Europe
Sao Tome and Principe,Africa
Sao Tome and Principe,Africa
Sao Tome and Principe,Africa
Sao Tome and Principe,Africa
Sao Tome and Principe,Africa
Sao Tome and Principe,Africa
Saudi Arabia,Middle East
Saudi Arabia,Middle East
Saudi Arabia,Middle East
Saudi Arabia,Middle East
Saudi Arabia,Middle East
Saudi Arabia,Middle East
Senegal,Africa
Senegal,Africa
Senegal,Africa
Senegal,Africa
Senegal,Africa
Senegal,Africa
Serbia,Europe
Serbia,Europe
Serbia,Europe
Serbia,Europe
Serbia,Europe
Serbia,Europe
Seychelles,Africa
Seychelles,Africa
Seychelles,Africa
Seychelles,Africa
Seychelles,Africa
Seychelles,Africa
Sierra Leone,Africa
Sierra Leone,Africa
Sierra Leone,Africa
Sierra Leone,Africa
Sierra Leone,Africa
Sierra Leone,Africa
Singapore,Asia
Singapore,Asia
Singapore,Asia
Singapore,Asia
Singapore,Asia
Singapore,Asia
Sint Maarten (Dutch part),The Americas
Sint Maarten (Dutch part),The Americas
Sint Maarten (Dutch part),The Americas
Sint Maarten (Dutch part),The Americas
Sint Maarten (Dutch part),The Americas
Sint Maarten (Dutch part),The Americas
Slovak Republic,Europe
Slovak Republic,Europe
Slovak Republic,Europe
Slovak Republic,Europe
Slovak Republic,Europe
Slovak Republic,Europe
Slovenia,Europe
Slovenia,Europe
Slovenia,Europe
Slovenia,Europe
Slovenia,Europe
Slovenia,Europe
Solomon Islands,Oceania
Solomon Islands,Oceania
Solomon Islands,Oceania
Solomon Islands,Oceania
Solomon Islands,Oceania
Solomon Islands,Oceania
Somalia,Africa
Somalia,Africa
Somalia,Africa
Somalia,Africa
Somalia,Africa
Somalia,Africa
South Africa,Africa
South Africa,Africa
South Africa,Africa
South Africa,Africa
South Africa,Africa
South Africa,Africa
South Sudan,Africa
South Sudan,Africa
South Sudan,Africa
South Sudan,Africa
South Sudan,Africa
South Sudan,Africa
Spain,Europe
Spain,Europe
Spain,Europe
Spain,Europe
Spain,Europe
Spain,Europe
Sri Lanka,Asia
Sri Lanka,Asia
Sri Lanka,Asia
Sri Lanka,Asia
Sri Lanka,Asia
Sri Lanka,Asia
St. Kitts and Nevis,The Americas
St. Kitts and Nevis,The Americas
St. Kitts and Nevis,The Americas
St. Kitts and Nevis,The Americas
St. Kitts and Nevis,The Americas
St. Kitts and Nevis,The Americas
St. Lucia,The Americas
St. Lucia,The Americas
St. Lucia,The Americas
St. Lucia,The Americas
St. Lucia,The Americas
St. Lucia,The Americas
St. Martin (French part),The Americas
St. Martin (French part),The Americas
St. Martin (French part),The Americas
St. Martin (French part),The Americas
St. Martin (French part),The Americas
St. Martin (French part),The Americas
St. Vincent and the Grenadines,The Americas
St. Vincent and the Grenadines,The Americas
St. Vincent and the Grenadines,The Americas
St. Vincent and the Grenadines,The Americas
St. Vincent and the Grenadines,The Americas
St. Vincent and the Grenadines,The Americas
Sudan,Africa
Sudan,Africa
Sudan,Africa
Sudan,Africa
Sudan,Africa
Sudan,Africa
Suriname,The Americas
Suriname,The Americas
Suriname,The Americas
Suriname,The Americas
Suriname,The Americas
Suriname,The Americas
Swaziland,Africa
Swaziland,Africa
Swaziland,Africa
Swaziland,Africa
Swaziland,Africa
Swaziland,Africa
Sweden,Europe
Sweden,Europe
Sweden,Europe
Sweden,Europe
Sweden,Europe
Sweden,Europe
Switzerland,Europe
Switzerland,Europe
Switzerland,Europe
Switzerland,Europe
Switzerland,Europe
Switzerland,Europe
Syrian Arab Republic,Middle East
Syrian Arab Republic,Middle East
Syrian Arab Republic,Middle East
Syrian Arab Republic,Middle East
Syrian Arab Republic,Middle East
Syrian Arab Republic,Middle East
Tajikistan,Asia
Tajikistan,Asia
Tajikistan,Asia
Tajikistan,Asia
Tajikistan,Asia
Tajikistan,Asia
Tanzania,Africa
Tanzania,Africa
Tanzania,Africa
Tanzania,Africa
Tanzania,Africa
Tanzania,Africa
Thailand,Asia
Thailand,Asia
Thailand,Asia
Thailand,Asia
Thailand,Asia
Thailand,Asia
Timor-Leste,Asia
Timor-Leste,Asia
Timor-Leste,Asia
Timor-Leste,Asia
Timor-Leste,Asia
Timor-Leste,Asia
Togo,Africa
Togo,Africa
Togo,Africa
Togo,Africa
Togo,Africa
Togo,Africa
Tonga,Oceania
Tonga,Oceania
Tonga,Oceania
Tonga,Oceania
Tonga,Oceania
Tonga,Oceania
Trinidad and Tobago,The Americas
Trinidad and Tobago,The Americas
Trinidad and Tobago,The Americas
Trinidad and Tobago,The Americas
Trinidad and Tobago,The Americas
Trinidad and Tobago,The Americas
Tunisia,Africa
Tunisia,Africa
Tunisia,Africa
Tunisia,Africa
Tunisia,Africa
Tunisia,Africa
Turkey,Europe
Turkey,Europe
Turkey,Europe
Turkey,Europe
Turkey,Europe
Turkey,Europe
Turkmenistan,Asia
Turkmenistan,Asia
Turkmenistan,Asia
Turkmenistan,Asia
Turkmenistan,Asia
Turkmenistan,Asia
Turks and Caicos Islands,The Americas
Turks and Caicos Islands,The Americas
Turks and Caicos Islands,The Americas
Turks and Caicos Islands,The Americas
Turks and Caicos Islands,The Americas
Turks and Caicos Islands,The Americas
Uganda,Africa
Uganda,Africa
Uganda,Africa
Uganda,Africa
Uganda,Africa
Uganda,Africa
Ukraine,Europe
Ukraine,Europe
Ukraine,Europe
Ukraine,Europe
Ukraine,Europe
Ukraine,Europe
United Arab Emirates,Middle East
United Arab Emirates,Middle East
United Arab Emirates,Middle East
United Arab Emirates,Middle East
United Arab Emirates,Middle East
United Arab Emirates,Middle East
United Kingdom,Europe
United Kingdom,Europe
United Kingdom,Europe
United Kingdom,Europe
United Kingdom,Europe
United Kingdom,Europe
United States,The Americas
United States,The Americas
United States,The Americas
United States,The Americas
United States,The Americas
United States,The Americas
Uruguay,The Americas
Uruguay,The Americas
Uruguay,The Americas
Uruguay,The Americas
Uruguay,The Americas
Uruguay,The Americas
Uzbekistan,Asia
Uzbekistan,Asia
Uzbekistan,Asia
Uzbekistan,Asia
Uzbekistan,Asia
Uzbekistan,Asia
Vanuatu,Oceania
Vanuatu,Oceania
Vanuatu,Oceania
Vanuatu,Oceania
Vanuatu,Oceania
Vanuatu,Oceania
"Venezuela, RB",The Americas
"Venezuela, RB",The Americas
"Venezuela, RB",The Americas
"Venezuela, RB",The Americas
"Venezuela, RB",The Americas
"Venezuela, RB",The Americas
Vietnam,Asia
Vietnam,Asia
Vietnam,Asia
Vietnam,Asia
Vietnam,Asia
Vietnam,Asia
Virgin Islands (U.S.),The Americas
Virgin Islands (U.S.),The Americas
Virgin Islands (U.S.),The Americas
Virgin Islands (U.S.),The Americas
Virgin Islands (U.S.),The Americas
Virgin Islands (U.S.),The Americas
"Yemen, Rep.",Middle East
"Yemen, Rep.",Middle East
"Yemen, Rep.",Middle East
"Yemen, Rep.",Middle East
"Yemen, Rep.",Middle East
"Yemen, Rep.",Middle East
Zambia,Africa
Zambia,Africa
Zambia,Africa
Zambia,Africa
Zambia,Africa
Zambia,Africa
Zimbabwe,Africa
Zimbabwe,Africa
Zimbabwe,Africa
Zimbabwe,Africa
Zimbabwe,Africa
Zimbabwe,Africa
