CO2 per 1000,Type,Year,Region
,Agriculture (Mt CO2e),1964,The Americas
0.000337302,Industrial Processes (Mt CO2e),1990,Middle East
0.000272656,Building (Energy) (Mt CO2e),2023,Asia
1.972104941e-05,Agriculture (Mt CO2e),1994,The Americas
0.003894076,Power Industry (Energy) (Mt CO2e),1992,Europe
0.001098370,Industrial Combustion (Energy) (Mt CO2e),1998,Europe
9.454130544e-05,Building (Energy) (Mt CO2e),1980,Africa
7.644822814e-05,Agriculture (Mt CO2e),2019,Oceania
0.006044943,Power Industry (Energy) (Mt CO2e),1999,Oceania
0.000193650,Transport (Energy) (Mt CO2e),2000,Africa
9.873827502e-06,Agriculture (Mt CO2e),1976,Middle East
0.001587854,Transport (Energy) (Mt CO2e),2016,Europe
5.859981838e-05,Industrial Processes (Mt CO2e),1994,Africa
2.662360009e-05,Agriculture (Mt CO2e),2011,The Americas
1.437792415e-05,Agriculture (Mt CO2e),1974,The Americas
0.000709581,Industrial Processes (Mt CO2e),1976,Europe
2.017522860e-06,Waste (Mt CO2e),1996,Asia
8.752425115e-05,Building (Energy) (Mt CO2e),1986,Africa
0.000323835,Power Industry (Energy) (Mt CO2e),1986,Africa
0.000768610,Industrial Combustion (Energy) (Mt CO2e),2016,The Americas
0.000119604,Fugitive Emissions (Energy) (Mt CO2e),1986,Asia
0.000247957,Transport (Energy) (Mt CO2e),1999,Asia
,Fugitive Emissions (Energy) (Mt CO2e),1961,Asia
2.420968455e-05,Agriculture (Mt CO2e),1997,Europe
,Waste (Mt CO2e),1967,Oceania
3.389987746e-06,Waste (Mt CO2e),2020,Europe
0.000277578,Fugitive Emissions (Energy) (Mt CO2e),1983,Africa
0.000459592,Industrial Processes (Mt CO2e),2002,Middle East
0.000259898,Fugitive Emissions (Energy) (Mt CO2e),1982,Africa
3.952316808e-06,Waste (Mt CO2e),2001,Europe
,Industrial Processes (Mt CO2e),1965,Africa
0.002181959,Power Industry (Energy) (Mt CO2e),2020,Europe
0.001616721,Industrial Combustion (Energy) (Mt CO2e),2003,Oceania
0.000479833,Industrial Processes (Mt CO2e),2022,Europe
0.000374921,Transport (Energy) (Mt CO2e),1972,Middle East
0.000109718,Fugitive Emissions (Energy) (Mt CO2e),1982,Asia
1.444819002e-05,Agriculture (Mt CO2e),1984,Middle East
0.000502730,Industrial Processes (Mt CO2e),1989,Oceania
,Agriculture (Mt CO2e),1961,Middle East
0.000229815,Industrial Combustion (Energy) (Mt CO2e),1978,Africa
0.001032333,Industrial Combustion (Energy) (Mt CO2e),1995,Middle East
4.101119623e-06,Waste (Mt CO2e),1981,Oceania
0.000246472,Building (Energy) (Mt CO2e),1974,Asia
0.002849267,Power Industry (Energy) (Mt CO2e),1987,The Americas
,Industrial Combustion (Energy) (Mt CO2e),1968,Asia
0.002077901,Building (Energy) (Mt CO2e),1978,Europe
0.000290932,Industrial Processes (Mt CO2e),1982,Middle East
1.799098445e-05,Agriculture (Mt CO2e),1983,Oceania
0.001343608,Industrial Combustion (Energy) (Mt CO2e),1989,The Americas
0.000593718,Building (Energy) (Mt CO2e),1989,Oceania
0.001552247,Transport (Energy) (Mt CO2e),2021,Europe
2.247614186e-09,Waste (Mt CO2e),2020,Middle East
0.000816774,Building (Energy) (Mt CO2e),2011,Middle East
0.003330188,Power Industry (Energy) (Mt CO2e),2004,The Americas
6.083402609e-07,Waste (Mt CO2e),1998,The Americas
0.003489178,Fugitive Emissions (Energy) (Mt CO2e),1974,Middle East
,Transport (Energy) (Mt CO2e),1962,Oceania
0.001579749,Transport (Energy) (Mt CO2e),2011,Europe
0.000934500,Industrial Combustion (Energy) (Mt CO2e),2020,Europe
,Agriculture (Mt CO2e),1967,Africa
,Building (Energy) (Mt CO2e),1965,Oceania
7.796094722e-09,Waste (Mt CO2e),1999,Africa
0.001176655,Transport (Energy) (Mt CO2e),1988,Middle East
0.000481995,Industrial Processes (Mt CO2e),1999,Europe
,Building (Energy) (Mt CO2e),1963,The Americas
0.000666881,Building (Energy) (Mt CO2e),1988,Middle East
0.000150678,Industrial Processes (Mt CO2e),1988,Asia
0.000917944,Power Industry (Energy) (Mt CO2e),2002,Asia
,Waste (Mt CO2e),1967,Middle East
,Industrial Processes (Mt CO2e),1965,The Americas
0.000321958,Building (Energy) (Mt CO2e),1984,Asia
0.000282095,Building (Energy) (Mt CO2e),1977,Asia
,Fugitive Emissions (Energy) (Mt CO2e),1960,Middle East
0.000955541,Fugitive Emissions (Energy) (Mt CO2e),2015,Middle East
0.001125181,Industrial Combustion (Energy) (Mt CO2e),2003,Europe
0.001863028,Industrial Combustion (Energy) (Mt CO2e),1994,Oceania
0.002817445,Power Industry (Energy) (Mt CO2e),1984,The Americas
0.000119342,Fugitive Emissions (Energy) (Mt CO2e),1985,Asia
0.000635222,Building (Energy) (Mt CO2e),1984,Middle East
,Power Industry (Energy) (Mt CO2e),1964,Europe
0.000206005,Transport (Energy) (Mt CO2e),1991,Asia
0.000976832,Fugitive Emissions (Energy) (Mt CO2e),2019,Middle East
0.000211459,Industrial Processes (Mt CO2e),1997,Asia
1.707215175e-09,Waste (Mt CO2e),2013,Middle East
0.001376635,Industrial Combustion (Energy) (Mt CO2e),2016,Middle East
,Transport (Energy) (Mt CO2e),1966,Middle East
0.002835093,Power Industry (Energy) (Mt CO2e),2014,Middle East
3.674093476e-06,Waste (Mt CO2e),1999,Europe
2.015102058e-06,Waste (Mt CO2e),2003,Asia
0.001016407,Building (Energy) (Mt CO2e),2023,Europe
0.001675874,Industrial Combustion (Energy) (Mt CO2e),1988,Europe
0.000459668,Power Industry (Energy) (Mt CO2e),1987,Asia
5.485592958e-06,Agriculture (Mt CO2e),2004,Africa
,Transport (Energy) (Mt CO2e),1964,Middle East
3.099739474e-05,Agriculture (Mt CO2e),2020,The Americas
0.000766845,Fugitive Emissions (Energy) (Mt CO2e),1981,Oceania
0.000313697,Industrial Processes (Mt CO2e),1988,Middle East
0.001375760,Transport (Energy) (Mt CO2e),1988,Europe
0.000491274,Transport (Energy) (Mt CO2e),2023,Asia
0.000504831,Industrial Processes (Mt CO2e),2000,Europe
0.000925936,Industrial Combustion (Energy) (Mt CO2e),2009,Asia
1.327900234e-05,Agriculture (Mt CO2e),1986,Asia
0.000498639,Transport (Energy) (Mt CO2e),2018,Asia
0.000743020,Building (Energy) (Mt CO2e),2024,Oceania
0.000650630,Industrial Processes (Mt CO2e),2008,Middle East
0.002742314,Transport (Energy) (Mt CO2e),2005,The Americas
8.086480823e-09,Waste (Mt CO2e),2000,Africa
9.536809643e-05,Building (Energy) (Mt CO2e),1975,Africa
0.000346472,Industrial Processes (Mt CO2e),2005,The Americas
8.562407033e-05,Building (Energy) (Mt CO2e),1993,Africa
0.000948013,Industrial Combustion (Energy) (Mt CO2e),2017,Europe
0.000336224,Power Industry (Energy) (Mt CO2e),1990,Africa
0.001528709,Transport (Energy) (Mt CO2e),1991,Europe
1.443821647e-06,Waste (Mt CO2e),1979,Asia
0.000872354,Fugitive Emissions (Energy) (Mt CO2e),2022,Oceania
3.896349731e-06,Waste (Mt CO2e),1973,Oceania
5.045169745e-07,Waste (Mt CO2e),1988,The Americas
1.768927628e-06,Waste (Mt CO2e),2020,Oceania
0.005281448,Power Industry (Energy) (Mt CO2e),1996,Oceania
0.000188264,Transport (Energy) (Mt CO2e),1998,Africa
,Power Industry (Energy) (Mt CO2e),1967,Oceania
4.010325993e-06,Waste (Mt CO2e),1995,Europe
0.000528962,Industrial Processes (Mt CO2e),1997,Oceania
0.000172867,Transport (Energy) (Mt CO2e),1982,Africa
0.003356957,Power Industry (Energy) (Mt CO2e),1977,Europe
0.000789608,Building (Energy) (Mt CO2e),2021,The Americas
1.736032099e-05,Agriculture (Mt CO2e),2020,Asia
0.000323229,Building (Energy) (Mt CO2e),1993,Asia
1.872373307e-05,Agriculture (Mt CO2e),1982,The Americas
8.401897782e-05,Building (Energy) (Mt CO2e),2020,Africa
0.000100419,Fugitive Emissions (Energy) (Mt CO2e),1978,Asia
,Building (Energy) (Mt CO2e),1962,Europe
4.144482417e-06,Waste (Mt CO2e),1986,Europe
,Industrial Processes (Mt CO2e),1968,Europe
4.186635172e-09,Waste (Mt CO2e),1973,Middle East
0.002887624,Transport (Energy) (Mt CO2e),2000,Oceania
8.041600569e-05,Fugitive Emissions (Energy) (Mt CO2e),1973,Asia
0.000242824,Fugitive Emissions (Energy) (Mt CO2e),2003,Africa
0.001403547,Industrial Combustion (Energy) (Mt CO2e),2013,Middle East
0.000293572,Power Industry (Energy) (Mt CO2e),1981,Africa
,Industrial Combustion (Energy) (Mt CO2e),1969,Europe
0.000303301,Building (Energy) (Mt CO2e),1983,Asia
0.004367718,Power Industry (Energy) (Mt CO2e),1986,Oceania
,Transport (Energy) (Mt CO2e),1964,The Americas
2.744677953e-09,Waste (Mt CO2e),1994,Middle East
,Industrial Combustion (Energy) (Mt CO2e),1960,The Americas
5.296020976e-06,Agriculture (Mt CO2e),2021,Africa
4.006217686e-06,Waste (Mt CO2e),1996,Europe
9.958459032e-07,Waste (Mt CO2e),2019,The Americas
3.665608125e-09,Waste (Mt CO2e),1977,Middle East
0.006142415,Power Industry (Energy) (Mt CO2e),2003,Oceania
2.403645032e-05,Agriculture (Mt CO2e),2004,Europe
0.000230103,Power Industry (Energy) (Mt CO2e),1973,Africa
